userId,movieId,rating,timestamp,index,bin,check
1,1,4,964982703,0,24,11
1,3,4,964981247,2,24,13
1,6,4,964982224,5,24,16
1,47,5,964983815,43,24,147
1,50,5,964982931,46,24,150
1,70,3,964982400,62,24,170
1,101,5,964980868,89,24,1101
1,110,4,964982176,97,24,1110
1,151,5,964984041,124,24,1151
1,157,5,964984100,130,24,1157
1,163,5,964983650,136,24,1163
1,216,5,964981208,184,24,1216
1,223,3,964980985,190,24,1223
1,231,5,964981179,197,24,1231
1,235,4,964980908,201,24,1235
1,260,5,964981680,224,24,1260
1,296,3,964982967,257,24,1296
1,316,3,964982310,275,24,1316
1,333,5,964981179,291,24,1333
1,349,4,964982563,307,24,1349
1,356,4,964980962,314,24,1356
1,362,5,964982588,320,24,1362
1,367,4,964981710,325,24,1367
1,423,3,964982363,367,24,1423
1,441,4,964980868,384,24,1441
1,457,5,964981909,398,24,1457
1,480,4,964982346,418,24,1480
1,500,3,964981208,436,24,1500
1,527,5,964984002,461,24,1527
1,543,4,964981179,476,24,1543
1,552,4,964982653,484,24,1552
1,553,5,964984153,485,24,1553
1,590,4,964982546,508,24,1590
1,592,4,964982271,509,24,1592
1,593,4,964983793,510,24,1593
1,596,5,964982838,513,24,1596
1,608,5,964982931,520,24,1608
1,648,3,964982563,546,24,1648
1,661,5,964982838,551,24,1661
1,673,3,964981775,559,24,1673
1,733,4,964982400,592,24,1733
1,736,3,964982653,594,24,1736
1,780,3,964984086,615,24,1780
1,804,4,964980499,632,24,1804
1,919,5,964982475,701,24,1919
1,923,5,964981529,705,24,1923
1,940,5,964982176,720,24,1940
1,943,4,964983614,723,24,1943
1,954,5,964983219,734,24,1954
1,1009,3,964981775,767,24,11009
1,1023,5,964982681,781,24,11023
1,1024,5,964982876,782,24,11024
1,1025,5,964982791,783,24,11025
1,1029,5,964982855,786,24,11029
1,1030,3,964982903,787,24,11030
1,1031,5,964982653,788,24,11031
1,1032,5,964982791,789,24,11032
1,1042,4,964981179,797,24,11042
1,1049,5,964982400,801,24,11049
1,1060,4,964980924,810,24,11060
1,1073,5,964981680,815,24,11073
1,1080,5,964981327,819,24,11080
1,1089,5,964982951,827,24,11089
1,1090,4,964984018,828,24,11090
1,1092,5,964983484,830,24,11092
1,1097,5,964981680,835,24,11097
1,1127,4,964982513,855,24,11127
1,1136,5,964981327,862,24,11136
1,1196,5,964981827,897,24,11196
1,1197,5,964981872,898,24,11197
1,1198,5,964981827,899,24,11198
1,1206,5,964983737,906,24,11206
1,1208,4,964983250,908,24,11208
1,1210,5,964980499,910,24,11210
1,1213,5,964982951,913,24,11213
1,1214,4,964981855,914,24,11214
1,1219,2,964983393,919,24,11219
1,1220,5,964981909,920,24,11220
1,1222,5,964981909,922,24,11222
1,1224,5,964984018,924,24,11224
1,1226,5,964983618,926,24,11226
1,1240,5,964983723,938,24,11240
1,1256,5,964981442,954,24,11256
1,1258,3,964983414,956,24,11258
1,1265,4,964983599,963,24,11265
1,1270,5,964983705,968,24,11270
1,1275,5,964982290,973,24,11275
1,1278,5,964983414,976,24,11278
1,1282,5,964982703,980,24,11282
1,1291,5,964981909,989,24,11291
1,1298,5,964984086,995,24,11298
1,1348,4,964983393,1035,24,11348
1,1377,3,964982653,1059,24,11377
1,1396,3,964983017,1075,24,11396
1,1408,3,964982310,1083,24,11408
1,1445,3,964984112,1109,24,11445
1,1473,4,964980875,1125,24,11473
1,1500,4,964980985,1145,24,11500
1,1517,5,964981107,1153,24,11517
1,1552,4,964982620,1170,24,11552
1,1573,5,964982290,1180,24,11573
1,1580,3,964981125,1182,24,11580
1,1587,5,964982346,1189,24,11587
1,1617,5,964982951,1217,24,11617
1,1620,4,964983056,1219,24,11620
1,1625,5,964983504,1223,24,11625
1,1644,3,964983536,1234,24,11644
1,1676,3,964982620,1260,24,11676
1,1732,5,964981125,1297,24,11732
1,1777,4,964981230,1318,24,11777
1,1793,4,964981404,1325,24,11793
1,1804,5,964983034,1331,24,11804
1,1805,4,964983056,1332,24,11805
1,1920,4,964981780,1400,24,11920
1,1927,5,964981497,1406,24,11927
1,1954,5,964982176,1430,24,11954
1,1967,4,964981710,1443,24,11967
1,2000,4,964982211,1474,24,12000
1,2005,5,964981710,1479,24,12005
1,2012,4,964984176,1486,24,12012
1,2018,5,964980523,1492,24,12018
1,2028,4,964981888,1502,24,12028
