movieId,bin,bias
1,1,0.15944986950265716
1,2,0.09951676977694064
1,3,-0.29395133555983954
1,4,0.1514754887003001
1,5,-0.01022939150101565
1,6,0.023908132585495498
1,7,-0.08610817940493884
1,8,0.004887422294626473
1,9,-0.01936476202650734
1,10,0.024798619878627283
1,11,0.007974803219762565
1,12,-0.08475085296417419
1,13,-0.21232734266893483
1,14,0.1188849623227994
1,15,-0.050992942330516634
2,1,0.3247549633389688
2,2,-0.12813750177750263
2,3,0.10073212818153793
2,4,0.01766564212567628
2,5,-0.049543714841451765
2,6,-0.056196214006310995
2,7,-0.18772698344995759
2,8,0.06631778711936084
2,9,-7.70236315707538e-06
2,10,-0.09451187212757914
2,11,-0.14006130872118855
2,12,-0.07694665944500506
2,13,-0.17728704704744844
2,14,0.12124063212593708
2,15,-0.1591799193814249
3,1,0.1798199732591771
3,2,-0.04625544445560598
3,3,0.0
3,4,0.04627228782118252
3,5,-0.006535843486152299
3,6,0.09817687340635907
3,7,-0.3143511975593353
3,8,-0.10003732948302632
3,9,0.014739958144938432
3,10,-0.04232834835312387
3,11,0.012244307442955465
3,12,0.0
3,13,0.0
3,14,-0.10903383481847198
3,15,0.0
4,1,-0.23067319727003924
4,2,-0.018931364171292785
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,-0.07915271117679383
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
5,1,0.06864937017936637
5,2,-0.030164526932518133
5,3,0.0
5,4,-0.11528217034031235
5,5,-0.10868215460717912
5,6,0.12993028255593783
5,7,0.044655290795737775
5,8,0.027207423152236027
5,9,-0.029299148278604772
5,10,0.0
5,11,-0.25578464943604146
5,12,-0.09493153555596515
5,13,-0.05489282560407003
5,14,-8.338343823518552e-05
5,15,0.055419699197280396
6,1,-0.1276421807418255
6,2,0.2565977505956016
6,3,0.012345337760111898
6,4,-0.23690270227964041
6,5,-0.02072736155872906
6,6,0.12674554491931114
6,7,0.09999162547567497
6,8,0.054306671880664084
6,9,0.06782139349064216
6,10,-0.0035827337803467463
6,11,-0.004522445924854085
6,12,-0.015598964826506035
6,13,-0.19465290751507602
6,14,0.26161318792111354
6,15,0.05563027949192737
7,1,0.20701428646305106
7,2,-0.04018550116230369
7,3,-0.402422269710954
7,4,-0.09244703860692019
7,5,-0.04014678520084115
7,6,0.07508197970222835
7,7,-0.2746422606910342
7,8,-0.0978431289030393
7,9,0.12622911832005482
7,10,0.0
7,11,0.16924347731542225
7,12,0.0
7,13,0.0
7,14,-0.0073542634873137855
7,15,0.0
8,1,0.03539028717340533
8,2,-0.13316570684592516
8,3,0.0
8,4,-0.01260865677368664
8,5,-0.18798061432500768
8,6,0.0
8,7,0.0
8,8,0.005120665316304808
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
